external_id,deal_name,account_name,owner,service_line,market_segment,stage,forecast_category,stage_probability_pct,deal_entry_date,expected_close_date,closed_date,timeline,term_years,mw,capacity_basis,site_count,sqft,price_per_sqft,scan_frequency,flags_json,raw_revenue_tcv,annual_revenue_acv,weighted_revenue,low_estimate,selected_estimate,high_estimate,source_file,review_notes
REN-0001,System BESS Portfolio in AZ,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,,,2,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0002,Walmart decommissions,Walmart,Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2022-02-15,2022-02-15,2022-02-15,,,,,8,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0003,MWDC Mammoth Portfolio (OM),,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2022-07-01,2022-07-01,2022-07-01,,,10.2,MWDC,,,,,{},244800,244800,244800,214200,244800,275400,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0004,Site Portfolio,,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-01-02,2023-01-02,2023-01-02,,,,,11,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0005,"mW / 7 canopies in Oro Valley, AZ (OM)",,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2022-09-01,2022-09-01,2022-09-01,,,1,MWDC,7,,,,{},24000,24000,24000,21000,24000,27000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0006,"kWDC rooftop site in Palo Alto, CA","kWDC rooftop site in Palo Alto, CA",Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2022-05-01,2022-05-01,2022-05-01,,,0.276,MWDC,,,,,{},6624,6624,6624,5796,6624,7452,NAES_CRM_Opportunities_Import.csv,account inferred from opportunity name
REN-0007,BESS Projects in Mass.,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2023-03-01,2023-03-01,2023-03-01,,,,,3,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0008,x BESS Projects in CA,BESS,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,,,3,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0009,mW portfolio in NY -- OM services,Wind Energy Services Company,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-01-01,2023-01-01,2023-01-01,,,50,MWDC,,,,,{},1200000,1200000,1200000,1050000,1200000,1350000,NAES_CRM_Opportunities_Import.csv,
REN-0010,"mW OM services - Oahu, HI",Wind Energy Services Company,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,5,MWDC,,,,,{},120000,120000,120000,105000,120000,135000,NAES_CRM_Opportunities_Import.csv,
REN-0011,Site Portfolio; WHC,,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2021-02-01,2021-02-01,2021-02-01,,,,,6,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0012,Portfolios,Portfolios,Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2021-10-01,2021-10-01,2021-10-01,,,,,7,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account inferred from opportunity name
REN-0013,"AM for 25 MWDC portfolio in IL, NY, CO",,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,25,MWDC,,,,,{},600000,600000,600000,525000,600000,675000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0014,Bat Cave 100 MW Storage in TX,,Megan Smethurst,Renewables,BESS,CLOSED_WON,CLOSED,100,2022-06-01,2022-06-01,2022-06-01,,,100,MWDC,,,,,{},2400000,2400000,2400000,2100000,2400000,2700000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0015,Blackbear Solar 131 MW,,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2022-09-01,2022-09-01,2022-09-01,,,131,MWDC,,,,,{},3144000,3144000,3144000,2751000,3144000,3537000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0016,Brookfileld/Luminace O&M for 3.721MWDC AZ portfolio,Luminace,Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2022-09-02,2022-09-02,2022-09-02,,,3.721,MWDC,,,,,{},89304,89304,89304,78141,89304,100467,NAES_CRM_Opportunities_Import.csv,
REN-0017,CA / NV - 37MW (OM),,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-01-01,2023-01-01,2023-01-01,,,37,MWDC,,,,,{},888000,888000,888000,777000,888000,999000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0018,CA portfolio #1 - 3.7MW,,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-10-01,2024-10-01,2024-10-01,,,3.7,MWDC,,,,,{},88800,88800,88800,77700,88800,99900,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
